# id,l_boiling,l_electronegativity,l_melting,l_radius,s_boiling,s_electronegativity,s_melting,s_radius,t_intermetallic,t_mechanism,t_phase_1,t_phase_2,t_s_homologous,t_temperature
7.780000000000000000e+02,2.022000000000000000e+03,2.330000000000000071e+00,6.006000000000000227e+02,1.800000000000000044e+00,2.742000000000000000e+03,1.570000000000000062e+00,1.560000000000000000e+03,1.050000000000000044e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,4.955128205128205288e-01,7.730000000000000000e+02
3.610000000000000000e+02,2.021914268960781556e+03,2.329715634145097525e+00,5.080000000000000000e+02,1.799926275519099672e+00,3.139936681381193466e+03,1.816663625060515708e+00,1.773000000000000000e+03,1.399700189538697126e+00,-3.279082366666669635e-01,0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,3.795826283135927959e-01,6.730000000000000000e+02
1.710000000000000000e+02,2.416246674366993830e+03,2.158990305374222984e+00,4.560000000000000000e+02,1.638234072651291839e+00,2.387476237488995594e+03,1.799339541900043749e+00,1.173000000000000000e+03,1.349958002328615292e+00,-1.014189399038459560e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.032395566922420960e-01,4.730000000000000000e+02
6.560000000000000000e+02,1.103599574215244957e+03,1.939235560003175429e+00,2.500000000000000000e+02,1.513810099999278513e+00,2.435000000000000000e+03,1.929999999999999938e+00,1.235000000000000000e+03,1.600000000000000089e+00,-3.339923250000031985e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.412955465587044435e-01,2.980000000000000000e+02
3.600000000000000000e+02,2.021914268960781556e+03,2.329715634145097525e+00,5.080000000000000000e+02,1.799926275519099672e+00,3.139925286650389808e+03,1.816655672102112096e+00,1.773000000000000000e+03,1.399695086401446131e+00,-3.279082366666669635e-01,0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,2.949802594472645256e-01,5.230000000000000000e+02
3.590000000000000000e+02,2.021914268960781556e+03,2.329715634145097525e+00,5.080000000000000000e+02,1.799926275519099672e+00,3.244320658544803337e+03,1.839249931181399678e+00,1.773000000000000000e+03,1.397576109097029118e+00,-3.279082366666669635e-01,0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,3.795826283135927959e-01,6.730000000000000000e+02
6.530000000000000000e+02,6.298799999999999955e+02,2.000000000000000000e+00,2.330000000000000000e+02,1.500000000000000000e+00,2.435000000000000000e+03,1.929999999999999938e+00,1.235000000000000000e+03,1.600000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.615384615384615530e-01,3.230000000000000000e+02
3.580000000000000000e+02,2.021914268960781556e+03,2.329715634145097525e+00,5.080000000000000000e+02,1.799926275519099672e+00,3.244320658544803337e+03,1.839249931181399678e+00,1.773000000000000000e+03,1.397576109097029118e+00,-3.279082366666669635e-01,0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,2.949802594472645256e-01,5.230000000000000000e+02
6.470000000000000000e+02,6.391214632017145050e+02,1.999049396894448938e+00,2.996999999999999886e+02,1.498999365152051233e+00,2.792000000000000000e+03,1.610000000000000098e+00,9.330000000000000000e+02,1.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.337620578778135005e-01,4.980000000000000000e+02
5.130000000000000000e+02,2.022000000000000000e+03,2.330000000000000071e+00,3.965000000000000000e+02,1.800000000000000044e+00,3.106676830287444318e+03,1.809903866678860718e+00,1.673000000000000000e+03,1.392127097638345079e+00,-9.017655750000042048e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.919306634787806165e-01,8.230000000000000000e+02
6.580000000000000000e+02,1.422198945327063939e+03,1.898368529332085330e+00,2.400000000000000000e+02,1.523098061515435253e+00,2.435000000000000000e+03,1.929999999999999938e+00,1.235000000000000000e+03,1.600000000000000089e+00,-3.339923250000031985e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.210526315789473617e-01,2.730000000000000000e+02
3.550000000000000000e+02,2.021914268960781556e+03,2.329715634145097525e+00,5.080000000000000000e+02,1.799926275519099672e+00,3.244320658544803337e+03,1.839249931181399678e+00,1.773000000000000000e+03,1.397576109097029118e+00,-3.279082366666669635e-01,0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,3.795826283135927959e-01,6.730000000000000000e+02
3.540000000000000000e+02,2.021914268960781556e+03,2.329715634145097525e+00,5.080000000000000000e+02,1.799926275519099672e+00,3.244320658544803337e+03,1.839249931181399678e+00,1.773000000000000000e+03,1.397576109097029118e+00,-3.279082366666669635e-01,0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,2.949802594472645256e-01,5.230000000000000000e+02
4.250000000000000000e+02,9.440000000000000000e+02,7.900000000000000355e-01,3.016999999999999886e+02,2.600000000000000089e+00,3.186000000000000000e+03,1.909999999999999920e+00,1.728000000000000000e+03,1.350000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.026620370370370350e-01,5.230000000000000000e+02
6.410000000000000000e+02,6.310048537788477461e+02,1.999884294351216285e+00,2.430000000000000000e+02,1.499878204580227914e+00,2.792000000000000000e+03,1.610000000000000098e+00,9.330000000000000000e+02,1.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.729903536977491885e-01,3.480000000000000000e+02
1.870000000000000000e+02,3.500047114011829763e+03,1.281525369954902960e+00,9.130000000000000000e+02,1.748704874566592071e+00,5.731000000000000000e+03,1.500000000000000000e+00,3.293000000000000000e+03,1.449999999999999956e+00,-4.157723833333323848e-01,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.954752505314303113e-01,9.730000000000000000e+02
3.530000000000000000e+02,2.021914268960781556e+03,2.329715634145097525e+00,5.080000000000000000e+02,1.799926275519099672e+00,3.292993952517772868e+03,1.851164120883312059e+00,1.773000000000000000e+03,1.396504384471599858e+00,-3.279082366666669635e-01,0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,3.795826283135927959e-01,6.730000000000000000e+02
