# id,l_boiling,l_electronegativity,l_melting,l_radius,s_boiling,s_electronegativity,s_melting,s_radius,t_intermetallic,t_mechanism,t_phase_1,t_phase_2,t_s_homologous,t_temperature
1.320000000000000000e+02,2.416257314278967897e+03,2.158665512324627667e+00,4.560000000000000000e+02,1.637855646772232054e+00,3.129156413305312981e+03,1.829072361361699040e+00,1.773000000000000000e+03,1.398949295653364011e+00,-9.077174999998761235e-03,2.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,3.164128595600677052e-01,5.610000000000000000e+02
1.310000000000000000e+02,2.416257314278967897e+03,2.158665512324627667e+00,4.560000000000000000e+02,1.637855646772232054e+00,3.129156413305312981e+03,1.829072361361699040e+00,1.773000000000000000e+03,1.398949295653364011e+00,-9.077174999998761235e-03,2.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,2.848279751833051598e-01,5.050000000000000000e+02
6.730000000000000000e+02,2.477000000000000000e+03,1.810000000000000053e+00,3.000000000000000000e+02,1.300000000000000044e+00,2.792000000000000000e+03,1.610000000000000098e+00,9.330000000000000000e+02,1.250000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.215434083601286241e-01,3.000000000000000000e+02
6.780000000000000000e+02,1.837000000000000000e+03,2.020000000000000018e+00,5.440000000000000000e+02,1.600000000000000089e+00,3.200000000000000000e+03,1.899999999999999911e+00,1.353000000000000000e+03,1.350000000000000089e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.452328159645233097e-01,8.730000000000000000e+02
6.770000000000000000e+02,1.837000000000000000e+03,2.020000000000000018e+00,5.440000000000000000e+02,1.600000000000000089e+00,3.200000000000000000e+03,1.899999999999999911e+00,1.353000000000000000e+03,1.350000000000000089e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.235033259423503504e-01,5.730000000000000000e+02
6.760000000000000000e+02,2.477000000000000000e+03,1.810000000000000053e+00,3.000000000000000000e+02,1.300000000000000044e+00,2.183702690865114164e+03,1.625094226033123812e+00,8.980000000000000000e+02,1.287735565082809286e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.340757238307349719e-01,3.000000000000000000e+02
6.750000000000000000e+02,6.298799999999999955e+02,2.000000000000000000e+00,2.330000000000000000e+02,1.500000000000000000e+00,3.200000000000000000e+03,1.899999999999999911e+00,1.353000000000000000e+03,1.350000000000000089e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.217294900221729592e-01,3.000000000000000000e+02
6.740000000000000000e+02,6.298799999999999955e+02,2.000000000000000000e+00,2.330000000000000000e+02,1.500000000000000000e+00,2.435000000000000000e+03,1.929999999999999938e+00,1.235000000000000000e+03,1.600000000000000089e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.429149797570850089e-01,3.000000000000000000e+02
1.250000000000000000e+02,2.416257314278967897e+03,2.158665512324627667e+00,4.560000000000000000e+02,1.637855646772232054e+00,3.128960913719362907e+03,1.828632744200506366e+00,1.773000000000000000e+03,1.399537159076869930e+00,-9.077174999998761235e-03,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.848279751833051598e-01,5.050000000000000000e+02
3.970000000000000000e+02,1.163166201241088629e+03,1.695702598188725929e+00,5.300000000000000000e+02,1.770348765017961012e+00,3.166296903580751405e+03,1.821845831526777815e+00,1.773000000000000000e+03,1.395091804118021139e+00,-1.132264431120689530e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.923857868020304340e-01,8.730000000000000000e+02
3.960000000000000000e+02,1.195508516711826132e+03,1.829356961805969073e+00,5.360000000000000000e+02,1.647917286895295597e+00,3.166296903580751405e+03,1.821845831526777815e+00,1.773000000000000000e+03,1.395091804118021139e+00,-1.132264431120689530e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.923857868020304340e-01,8.730000000000000000e+02
3.950000000000000000e+02,1.228118669330700641e+03,1.964118160325608375e+00,6.700000000000000000e+02,1.524471914205549838e+00,3.166296903580751405e+03,1.821845831526777815e+00,1.773000000000000000e+03,1.395091804118021139e+00,-1.132264431120689530e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.923857868020304340e-01,8.730000000000000000e+02
3.940000000000000000e+02,1.247814710240847944e+03,2.045511894055239033e+00,7.000000000000000000e+02,1.449912768804361374e+00,3.166296903580751405e+03,1.821845831526777815e+00,1.773000000000000000e+03,1.395091804118021139e+00,-1.132264431120689530e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.923857868020304340e-01,8.730000000000000000e+02
3.930000000000000000e+02,1.254401877393388759e+03,2.072733310363846115e+00,7.150000000000000000e+02,1.424977120277393094e+00,3.166296903580751405e+03,1.821845831526777815e+00,1.773000000000000000e+03,1.395091804118021139e+00,-1.132264431120689530e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.923857868020304340e-01,8.730000000000000000e+02
1.420000000000000000e+02,2.416257314278967897e+03,2.158665512324627667e+00,4.560000000000000000e+02,1.637855646772232054e+00,3.140324475670677202e+03,1.833188300520623981e+00,1.773000000000000000e+03,1.397476493408353448e+00,-2.679188835000004820e-01,2.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,2.848279751833051598e-01,5.050000000000000000e+02
1.430000000000000000e+02,2.416257314278967897e+03,2.158665512324627667e+00,4.560000000000000000e+02,1.637855646772232054e+00,3.140324475670677202e+03,1.833188300520623981e+00,1.773000000000000000e+03,1.397476493408353448e+00,-2.679188835000004820e-01,2.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,3.474337281443880543e-01,6.160000000000000000e+02
3.860000000000000000e+02,1.261000000000000000e+03,2.100000000000000089e+00,7.220000000000000000e+02,1.399999999999999911e+00,3.166296903580751405e+03,1.821845831526777815e+00,1.773000000000000000e+03,1.395091804118021139e+00,-5.052307866666664316e-01,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.333897349125775511e-01,1.123000000000000000e+03
2.900000000000000000e+01,2.436137674279257226e+03,1.800713107790740342e+00,2.880000000000000000e+02,1.377390768410497568e+00,2.568564791419384619e+03,1.810278058111475463e+00,1.123000000000000000e+03,1.469054126059426535e+00,-7.549475388888875205e-02,2.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,2.653606411398041209e-01,2.980000000000000000e+02
1.240000000000000000e+02,2.459877140757236702e+03,1.806108441081190064e+00,2.880000000000000000e+02,1.332429657656747812e+00,1.040000000000000000e+03,1.689999999999999947e+00,5.942000000000000455e+02,1.550000000000000044e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,5.015146415348367137e-01,2.980000000000000000e+02
1.100000000000000000e+02,3.075280138911447011e+03,1.911206198435460246e+00,1.258000000000000000e+03,1.389928323388497811e+00,3.166041301536876745e+03,1.832171505348093810e+00,1.703000000000000000e+03,1.385213790685672963e+00,-2.679188835000004820e-01,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.475044039929535922e-01,1.273000000000000000e+03
1.210000000000000000e+02,1.659367974992640939e+03,1.867946642509922928e+00,2.430000000000000000e+02,1.530012126702290365e+00,1.040000000000000000e+03,1.689999999999999947e+00,5.942000000000000455e+02,1.550000000000000044e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,5.015146415348367137e-01,2.980000000000000000e+02
4.190000000000000000e+02,2.477000000000000000e+03,1.810000000000000053e+00,3.028000000000000114e+02,1.300000000000000044e+00,1.180000000000000000e+03,1.649999999999999911e+00,6.925000000000000000e+02,1.350000000000000089e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,7.263537906137184086e-01,5.030000000000000000e+02
8.480000000000000000e+02,2.875000000000000000e+03,1.959999999999999964e+00,5.048999999999999773e+02,1.449999999999999956e+00,2.747287696613365370e+03,1.607289707594165007e+00,9.335000000000000000e+02,1.258775167700878939e+00,-1.855255622222221346e-01,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.209426888055704419e-01,6.730000000000000000e+02
4.180000000000000000e+02,2.477000000000000000e+03,1.810000000000000053e+00,3.028000000000000114e+02,1.300000000000000044e+00,1.180000000000000000e+03,1.649999999999999911e+00,6.925000000000000000e+02,1.350000000000000089e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.743682310469314434e-01,4.670000000000000000e+02
4.170000000000000000e+02,2.477000000000000000e+03,1.810000000000000053e+00,3.028000000000000114e+02,1.300000000000000044e+00,1.180000000000000000e+03,1.649999999999999911e+00,6.925000000000000000e+02,1.350000000000000089e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.180505415162454996e-01,4.280000000000000000e+02
4.460000000000000000e+02,2.875000000000000000e+03,1.959999999999999964e+00,5.048999999999999773e+02,1.449999999999999956e+00,2.593227627464524176e+03,1.824894707751446576e+00,1.198000000000000000e+03,1.350008714085199291e+00,-1.014189399038459560e-01,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.449081803005008329e-01,5.330000000000000000e+02
4.500000000000000000e+02,2.875000000000000000e+03,1.959999999999999964e+00,5.048999999999999773e+02,1.449999999999999956e+00,2.407020057891333181e+03,1.801849241191695095e+00,1.173000000000000000e+03,1.350008691877747191e+00,-1.014189399038459560e-01,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.543904518329070497e-01,5.330000000000000000e+02
4.160000000000000000e+02,2.477000000000000000e+03,1.810000000000000053e+00,3.028000000000000114e+02,1.300000000000000044e+00,1.180000000000000000e+03,1.649999999999999911e+00,6.925000000000000000e+02,1.350000000000000089e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,5.444043321299638638e-01,3.770000000000000000e+02
4.150000000000000000e+02,2.477000000000000000e+03,1.810000000000000053e+00,3.028000000000000114e+02,1.300000000000000044e+00,1.180000000000000000e+03,1.649999999999999911e+00,6.925000000000000000e+02,1.350000000000000089e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,4.216606498194945818e-01,2.920000000000000000e+02
4.640000000000000000e+02,2.875000000000000000e+03,1.959999999999999964e+00,5.048999999999999773e+02,1.449999999999999956e+00,2.407020057891333181e+03,1.801849241191695095e+00,1.173000000000000000e+03,1.350008691877747191e+00,-1.014189399038459560e-01,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.311167945439044802e-01,6.230000000000000000e+02
9.000000000000000000e+01,3.200000000000000000e+03,1.899999999999999911e+00,1.356000000000000000e+03,1.350000000000000089e+00,3.027987835850832198e+03,1.780709455714891920e+00,1.773000000000000000e+03,1.394437795246306511e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.743936830231246127e-01,1.373000000000000000e+03
9.100000000000000000e+01,3.075280138911447011e+03,1.911206198435460246e+00,1.258000000000000000e+03,1.389928323388497811e+00,3.027987835850832198e+03,1.780709455714891920e+00,1.773000000000000000e+03,1.394437795246306511e+00,-3.194974500000036244e-02,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.179921037789057658e-01,1.273000000000000000e+03
9.200000000000000000e+01,2.646355713395576004e+03,1.919112903462341313e+00,1.003000000000000000e+03,1.526215619106235488e+00,3.027987835850832198e+03,1.780709455714891920e+00,1.773000000000000000e+03,1.394437795246306511e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.051889452904681832e-01,1.073000000000000000e+03
9.400000000000000000e+01,2.662853949318799096e+03,1.969769936245356901e+00,1.173000000000000000e+03,1.535518536788365918e+00,3.027987835850832198e+03,1.780709455714891920e+00,1.773000000000000000e+03,1.394437795246306511e+00,-1.109491199999999012e-01,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.897913141567963979e-01,1.223000000000000000e+03
1.230000000000000000e+02,2.477000000000000000e+03,1.810000000000000053e+00,3.020000000000000000e+02,1.300000000000000044e+00,1.040000000000000000e+03,1.689999999999999947e+00,5.942000000000000455e+02,1.550000000000000044e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,5.015146415348367137e-01,2.980000000000000000e+02
9.700000000000000000e+01,3.200000000000000000e+03,1.899999999999999911e+00,1.356000000000000000e+03,1.350000000000000089e+00,3.088226804123917191e+03,1.802270115952702589e+00,1.773000000000000000e+03,1.393374779013837994e+00,-9.017655750000042048e-02,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.743936830231246127e-01,1.373000000000000000e+03
9.900000000000000000e+01,2.646355713395576004e+03,1.919112903462341313e+00,1.003000000000000000e+03,1.526215619106235488e+00,3.088226804123917191e+03,1.802270115952702589e+00,1.773000000000000000e+03,1.393374779013837994e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.051889452904681832e-01,1.073000000000000000e+03
3.300000000000000000e+01,2.477000000000000000e+03,1.810000000000000053e+00,3.027599999999999909e+02,1.300000000000000044e+00,2.792000000000000000e+03,1.610000000000000098e+00,9.335000000000000000e+02,1.250000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.602570969469737872e-01,5.230000000000000000e+02
3.200000000000000000e+01,2.477000000000000000e+03,1.810000000000000053e+00,3.027599999999999909e+02,1.300000000000000044e+00,2.792000000000000000e+03,1.610000000000000098e+00,9.335000000000000000e+02,1.250000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.531333690412426285e-01,4.230000000000000000e+02
1.030000000000000000e+02,2.646355713395576004e+03,1.919112903462341313e+00,1.003000000000000000e+03,1.526215619106235488e+00,3.170222636774597959e+03,1.822585871494428966e+00,1.773000000000000000e+03,1.394079619580806062e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.051889452904681832e-01,1.073000000000000000e+03
1.040000000000000000e+02,3.200000000000000000e+03,1.899999999999999911e+00,1.356000000000000000e+03,1.350000000000000089e+00,3.166041301536876745e+03,1.832171505348093810e+00,1.703000000000000000e+03,1.385213790685672963e+00,-9.017655750000042048e-02,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.062243100411039531e-01,1.373000000000000000e+03
1.050000000000000000e+02,3.075280138911447011e+03,1.911206198435460246e+00,1.258000000000000000e+03,1.389928323388497811e+00,3.166041301536876745e+03,1.832171505348093810e+00,1.703000000000000000e+03,1.385213790685672963e+00,-2.679188835000004820e-01,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.475044039929535922e-01,1.273000000000000000e+03
3.100000000000000000e+01,2.477000000000000000e+03,1.810000000000000053e+00,3.027599999999999909e+02,1.300000000000000044e+00,2.792000000000000000e+03,1.610000000000000098e+00,9.335000000000000000e+02,1.250000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.460096411355115253e-01,3.230000000000000000e+02
1.090000000000000000e+02,3.200000000000000000e+03,1.899999999999999911e+00,1.356000000000000000e+03,1.350000000000000089e+00,3.166041301536876745e+03,1.832171505348093810e+00,1.703000000000000000e+03,1.385213790685672963e+00,-9.017655750000042048e-02,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.062243100411039531e-01,1.373000000000000000e+03
1.630000000000000000e+02,2.416257314278967897e+03,2.158665512324627667e+00,4.560000000000000000e+02,1.637855646772232054e+00,3.132875961757461027e+03,1.831498870345670049e+00,1.773000000000000000e+03,1.396595889552768144e+00,-2.679188835000004820e-01,2.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,3.474337281443880543e-01,6.160000000000000000e+02
1.110000000000000000e+02,3.200000000000000000e+03,1.899999999999999911e+00,1.356000000000000000e+03,1.350000000000000089e+00,3.165432163923605913e+03,1.843762944113815472e+00,1.773000000000000000e+03,1.393043689493959514e+00,-9.017655750000042048e-02,2.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,7.743936830231246127e-01,1.373000000000000000e+03
1.120000000000000000e+02,3.200000000000000000e+03,1.899999999999999911e+00,1.356000000000000000e+03,1.350000000000000089e+00,3.091191850328900273e+03,1.797281319105464403e+00,1.788000000000000000e+03,1.398116251615804551e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,7.678970917225951265e-01,1.373000000000000000e+03
1.190000000000000000e+02,8.528338790174732367e+02,1.971401503461073235e+00,2.590000000000000000e+02,1.506499658304301548e+00,1.040000000000000000e+03,1.689999999999999947e+00,5.942000000000000455e+02,1.550000000000000044e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,5.015146415348367137e-01,2.980000000000000000e+02
1.200000000000000000e+02,1.315863794882547609e+03,1.912008235648723797e+00,2.480000000000000000e+02,1.519998128261653481e+00,1.040000000000000000e+03,1.689999999999999947e+00,5.942000000000000455e+02,1.550000000000000044e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,5.015146415348367137e-01,2.980000000000000000e+02
9.800000000000000000e+01,3.075280138911447011e+03,1.911206198435460246e+00,1.258000000000000000e+03,1.389928323388497811e+00,3.088226804123917191e+03,1.802270115952702589e+00,1.773000000000000000e+03,1.393374779013837994e+00,-3.194974500000036244e-02,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.179921037789057658e-01,1.273000000000000000e+03
3.850000000000000000e+02,1.261000000000000000e+03,2.100000000000000089e+00,7.220000000000000000e+02,1.399999999999999911e+00,3.166296903580751405e+03,1.821845831526777815e+00,1.773000000000000000e+03,1.395091804118021139e+00,-5.052307866666664316e-01,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.051889452904681832e-01,1.073000000000000000e+03
